"Part","Value","Device","Package","Description","CUI_PURCHASE_URL","DESCRIPTION","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","MANUFACTURER_PART_NUMBER","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","SPICEPREFIX","VENDOR",
"B1","220@100MHz","BEAD0805","0805","Ferrite Bead","","","","","","","","","","","","","","",
"C1","100nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C2","10uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C3","10uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C4","10uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C5","0.1uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C6","0.1uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C7","0.1uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C8","0.1uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C9","30pF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C10","30pF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C11","","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"C12","","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","63","C","",
"CR1","LD1117V33","LD1117V33","TO-220","","","","","","LD1117V33","","","","","","","","","STMicroelectronics",
"IC1","IPB180N06S4-H1","IPB180N06S4-H1","PG-TO263-7-3","OptiMOS®-T2 Power-Transistor","","","","","","","","","","","","","","",
"J1","UJ2-MIBH-4-MSMT","UJ2-MIBH-4-MSMT","CUI_UJ2-MIBH-4-MSMT","Micro B, USB 2.0, 1.8 A, Right Angle, Mid-Mount SMT, USB Receptacle","https://www.cuidevices.com/product/interconnect/connectors/usb-connectors/uj2-mibh-4-msmt?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","Micro B, USB 2.0, 1.8 A, Right Angle, Mid Mount _SMT_, USB Receptacle","102-4008-1-ND","https://www.digikey.com/product-detail/en/cui-devices/UJ2-MIBH-4-MSMT-TR/102-4008-1-ND/6187930?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","CUI Devices","UJ2-MIBH-4-MSMT-TR","","","","None","","","",
"JP1","","PINHD-2X3","2X03","PIN HEADER","","","","","","","","","","","","62","","",
"L1","10uH","L0805","0805","","","","","","","","","","","","","","","",
"Q1","16MHz     18pF","CRYSTALHC49S","HC49/S","CRYSTAL","","","","","","","","","1667008","unknown","","49","","",
"R1","1.7K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R2","3.3K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R3","3.3K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R4","3.3K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R5","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R6","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R7","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R8","10K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R9","1.5K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R10","3.3K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R11","3.3K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R12","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R13","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R14","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R15","10K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"R16","1.5K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","","","85","R","",
"SW1","SW","SW","B3F-10XX","OMRON SWITCH","","","","","","","","B3F-1000","176432","36M3542","","72","","",
"U$3","TEENSY_3.5/3.6_BASIC","TEENSY_3.5/3.6_BASIC","TEENSY_3.5/3.6_BASIC","","","","","","","","","","","","","","","",
"U$18","SHF-105-01-X-D-TH","SHF-105-01-X-D-TH","SHF-105-01-X-D-TH",".050 x .050 SHROUDED TERMINAL STRIP.",""," SHF Series .050 Shrouded Terminal Strip For FFSD ","SAM10711-ND","https://www.digikey.com/product-detail/en/samtec-inc/SHF-105-01-L-D-TH/SAM10711-ND/6561671?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","Samtec","SHF-105-01-L-D-TH","","","","None","","","",
"U$19","SHF-105-01-X-D-TH","SHF-105-01-X-D-TH","SHF-105-01-X-D-TH",".050 x .050 SHROUDED TERMINAL STRIP.",""," SHF Series .050 Shrouded Terminal Strip For FFSD ","SAM10711-ND","https://www.digikey.com/product-detail/en/samtec-inc/SHF-105-01-L-D-TH/SAM10711-ND/6561671?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","Samtec","SHF-105-01-L-D-TH","","","","None","","","",
"U1","ATXMEGA128A4U-AU","ATXMEGA128A4U-AU","44A","","","","","","ATXMEGA128A4UAU","","","","","","","","","Atmel",
"U2","VNH5019ATR-E","VNH5019ATR-E","IC_VNH5019ATR-E","Motor / Motion / Ignition Controllers & Drivers Automotive h-Bridge 18mohm 30a 41v Vcc",""," Motor / Motion / Ignition Controllers & Drivers Automotive h-Bridge 18mohm 30a 41v Vcc ","497-13073-1-ND","https://www.digikey.com/product-detail/en/stmicroelectronics/VNH5019ATR-E/497-13073-1-ND/3455763?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","STMicroelectronics","VNH5019ATR-E","","","","SOP-30 STMicroelectronics","","","",
"U3","VNH5019ATR-E","VNH5019ATR-E","IC_VNH5019ATR-E","Motor / Motion / Ignition Controllers & Drivers Automotive h-Bridge 18mohm 30a 41v Vcc",""," Motor / Motion / Ignition Controllers & Drivers Automotive h-Bridge 18mohm 30a 41v Vcc ","497-13073-1-ND","https://www.digikey.com/product-detail/en/stmicroelectronics/VNH5019ATR-E/497-13073-1-ND/3455763?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","STMicroelectronics","VNH5019ATR-E","","","","SOP-30 STMicroelectronics","","","",
"U4","MC14504BDR2G","MC14504BDR2G","SOIC-16","","","","","","MC14504BDR2G","","","","","","","","","ON Semiconductor",
"U5","MC14504BDR2G","MC14504BDR2G","SOIC-16","","","","","","MC14504BDR2G","","","","","","","","","ON Semiconductor",
"X1","","SCREWTERM_2P_381","2POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"X2","","SCREWTERM_3P_381","3POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"X3","","SCREWTERM_3P_381","3POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"X4","","SCREWTERM_3P_381","3POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"X10","","SCREWTERM_2P_381","2POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"X11","","SCREWTERM_2P_381","2POL381","PHOENIX CONNECTOR","","","","","","","","","","","","","","",
"XB1","XBEE","XBEE","XBEE","XBee (TM) /XBee-PRO(TM) OEM RF Modules","","","","","","","","XBP24-Z7UIT-004","1751799","34R5507","","","","",
